02	17	0
02	18	1
02	19	2
02	20	1
02	21	4
02	22	3
02	23	0
02	24	0
02	25	0
02	26	3
02	27	1
02	28	1
03	01	3
03	02	3
03	03	5
03	04	3
03	05	3
03	06	2
03	07	3
03	08	4
03	09	4
03	10	1
03	11	3
03	12	12
03	13	4
03	14	32
03	15	32
03	16	2
03	17	7
03	18	8
03	19	9
03	20	6
03	21	9
03	22	14
03	23	12
03	24	8
03	25	10
03	26	16
03	27	22
03	28	41
03	29	65
03	30	57
03	31	46
04	01	36
04	02	42
04	03	26
04	04	32
04	05	15
04	06	21
04	07	10
04	08	5
04	09	7
04	10	7
04	11	10
04	12	9
04	13	3
04	14	2
04	15	2
04	16	8
04	17	3
04	18	3
04	19	8
04	20	2
04	21	1
04	22	2
04	23	1
04	24	1
04	25	2
04	26	1
04	27	1
04	28	1
04	29	0
04	30	0
05	01	1
05	02	1
05	03	2
05	04	1
05	05	1
05	06	0
05	07	20
05	08	0
05	09	0
05	10	1
05	11	0
05	12	1
05	13	0
05	14	0
05	15	0
05	16	1
05	17	1
05	18	0
05	19	0
05	20	0
05	21	1
05	22	0
05	23	1
05	24	0
05	25	0
05	26	0
05	27	1
05	28	1
05	29	0
05	30	1
05	31	0
06	01	0
06	02	0
06	03	2
06	04	0
06	05	0
06	06	0
06	07	0
06	08	0
06	09	0
06	10	0
06	11	0
06	12	0
06	13	0
06	14	0
06	15	0
06	16	1
06	17	0
06	18	2
06	19	1
06	20	0
06	21	1
06	22	1
06	23	0
06	24	0
06	25	1
06	26	1
06	27	0
06	28	1
06	29	2
06	30	0
07	01	0
07	02	0
07	03	0
07	04	2
07	05	0
07	06	0
07	07	0
07	08	1
07	09	0
07	10	0
07	11	0
07	12	0
07	13	0
07	14	0
07	15	0
07	16	0
07	17	0
07	18	1
07	19	1
07	20	0
07	21	0
07	22	0
07	23	1
07	24	0
07	25	0
07	26	1
07	27	0
07	28	1
07	29	0
07	30	0
07	31	0
08	01	0
08	02	0
08	03	0
08	04	0
08	05	0
08	06	1
08	07	0
08	08	0
08	09	1
08	10	0
08	11	0
08	12	0
08	13	0
08	14	0
08	15	0
08	16	3
08	17	0
08	18	0
08	19	0
08	20	1
08	21	0
08	22	0
08	23	0
08	24	0
08	25	2
08	26	0
08	27	0
08	28	0
08	29	0
08	30	7
08	31	2
09	01	0
09	02	0
09	03	0
09	04	2
09	05	0
09	06	0
09	07	0
09	08	0
09	09	0
09	10	0
09	11	0
09	12	0
09	13	0
09	14	0
09	15	0
09	16	0
09	17	0
09	18	0
09	19	1
09	20	0
09	21	0
09	22	2
09	23	0
09	24	1
09	25	0
09	26	0
09	27	0
09	28	0
09	29	0
09	30	0
10	01	1
10	02	0
10	03	0
10	04	0
10	05	0
10	06	0
10	07	0
10	08	0
10	09	0
10	10	0
10	11	0
10	12	1
10	13	0
10	14	1
10	15	2
10	16	2
10	17	0
10	18	0
10	19	1
10	20	0
10	21	0
10	22	1
10	23	0
10	24	1
10	25	0
10	26	0
10	27	1
10	28	1
10	29	0
10	30	1
10	31	1
11	01	2
11	02	0
11	03	0
11	04	0
11	05	0
11	06	0
11	07	0
11	08	1
11	09	1
11	10	0
11	11	0
11	12	2
11	13	0
11	14	1
11	15	0
11	16	1
11	17	1
11	18	1
11	19	1
11	20	2
11	21	0
11	22	0
11	23	0
11	24	1
11	25	0
11	26	1
11	27	0
11	28	0
11	29	0
11	30	0
12	01	1
12	02	0
12	03	0
12	04	0
12	05	1
12	06	1
12	07	0
12	08	0
12	09	0
12	10	1
12	11	4
12	12	0
12	13	0
12	14	1
12	15	0
12	16	0
12	17	0
12	18	0
12	19	0
12	20	2
12	21	1
12	22	2
12	23	0
12	24	1
12	25	0
12	26	0
12	27	0
12	28	0
12	29	0
12	30	0
